name,points
cell_centroids,"[(573.1428571428571, 597.7857142857143), (890.2666666666667, 672.2666666666667), (835.25, 773.75), (912.5, 790.5)]"
candidate_cell_centroids,"[(573.1428571428571, 597.7857142857143), (748.0, 660.0), (890.2666666666667, 672.2666666666667), (840.0, 677.0), (768.0, 733.0), (775.0, 740.0), (835.25, 773.75), (912.5, 790.5), (805.0, 800.0)]"
